Keyword,Score
algebra,12.72
analysis,7.1896
application,1.0602
art,5.9756
baking,1.0142
biology,0.9115
business,14.6588
calculus,10.8029
competitive,0.419
contemporary,1.4429
culinary,7.8231
cultural,4.532
dance,6.4007
debate,2.3916
design,4.4926
discipline,6.1239
economic,3.1553
education,7.3225
engineering,8.3522
explore,0.9327
film,5.6867
gastronomy,4.7835
grammar,1.0301
hospitality,3.4928
improvisation,0.845
innovation,3.2015
integration,1.123
laboratory,4.6671
management,6.395
marketing,4.0506
mathematical,1.5033
multimedia,0.9535
optimization,3.6132
pedagogical,5.0064
physics,8.1685
planning,0.7995
practical,1.444
programming,4.433
research,4.4408
science,7.8335
security,1.382
social,1.1629
software,4.9266
teaching,14.1091
teamwork,0.2943
technique,3.8715
theoretical,2.4674
topology,1.0553
training,4.7107
workshop,5.2903
