Keyword,Score
algebra,5.5318
algoritmo,3.6593
analisis,8.2887
aprendizaje,1.2279
arte,12.0951
basico,2.253
cocina,6.2255
complejo,2.0292
contemporaneo,3.2388
culinario,5.4689
cultural,1.0148
danza,2.8158
debate,2.9316
decision,1.7049
diferente,0.6704
dinamico,0.6111
discusion,1.6538
diverso,2.5592
educativo,1.5041
empresarial,0.5718
enfoque,0.6633
espacio,0.9593
estrategia,5.4949
financiero,1.9249
fisico,1.4644
fundamental,1.013
gastronomia,2.346
geometrica,0.7702
gestion,10.2761
innovacion,2.9271
interactivo,2.6147
laboratorio,3.2792
lenguaje,2.5653
marketing,2.9326
matematico,4.5186
mercado,1.7718
moderno,0.7659
multimedia,2.2092
optimizacion,1.6532
pedagogica,2.605
planificacion,1.8841
programacion,2.5031
proyecto,6.8515
riesgos,0.6255
seguridad,0.793
sistema,0.7888
social,1.9956
software,0.6359
tecnico,2.3182
vocabulario,0.6159
