Keyword,Score
academic,7.304
algebra,6.7922
analysis,6.0083
artistic,4.6671
business,4.4678
calculus,4.2561
culinary,3.3793
cultural,3.3472
dance,3.2975
design,3.2734
discipline,3.2129
economic,3.1553
education,2.8722
engineering,2.4931
english,2.4019
film,2.2111
food,2.104
gastronomy,2.0779
geometry,2.072
graph,2.0487
hospitality,2.002
innovation,1.8873
kitchen,1.8789
lab,1.868
management,1.784
marketing,1.5516
mathematic,1.5347
optimization,1.5142
pedagogical,1.4908
physics,1.4741
practice,1.4725
programming,1.4555
research,1.3528
science,1.347
software,1.3142
teach,1.2971
teaching,1.2495
technique,1.2192
theorem,1.1848
theoretical,1.1846
training,1.1427
workshop,1.0823
