Keyword,Score
algebra,3.1553
analysis,1.1813
application,1.0602
art,5.9756
business,5.1379
calculus,3.2734
computer,1.1779
cooking,2.4019
culinary,3.2975
cultural,1.1848
dance,1.5516
debate,1.1958
design,1.2192
discipline,1.4555
education,3.2129
engineering,3.5944
equation,1.0348
film,1.8789
food,1.5466
gastronomy,1.3528
geometry,1.2971
hospitality,1.4908
improvement,1.1046
innovation,1.3142
integration,1.123
internship,1.5891
kitchen,1.8348
lab,1.5287
management,3.5297
marketing,1.2495
mathematic,7.304
menu,2.0018
optimization,1.1537
pedagogical,2.072
physics,3.3472
practice,2.9572
programming,1.8873
research,1.7484
science,3.3793
skill,1.0308
software,2.0779
space,1.0921
student,33.3443
study,5.7354
teaching,6.7922
technique,2.6523
theorem,2.0487
theoretical,1.2828
training,1.784
workshop,2.104
