Keyword,Score
algebra,2.288
analisis,3.1
aplicacion,1.1733
arte,4.514
basico,1.2367
campo,0.799
centrar,1.1126
cocina,2.4454
complejo,1.1194
contemporaneo,1.4507
culinario,2.1304
curso,6.3087
danza,1.4079
debate,0.9772
diverso,0.9844
estrategia,1.9345
estructura,1.3527
estudiante,1.9197
evolucion,0.9215
gastronomia,0.782
gestion,3.8662
herramienta,0.8869
innovacion,1.0748
integracion,1.5685
interactivo,0.9908
laboratorio,1.2569
lenguaje,1.3589
marketing,1.1521
matematico,1.9698
mejorar,1.369
menus,1.5055
metodo,0.8497
movimiento,0.9184
multimedia,0.7364
pedagogica,0.8651
programacion,1.0854
proyecto,2.3435
seguridad,0.793
sistema,0.7888
social,0.9514
tecnico,0.9188
tema,1.4886
teorico,4.8973
vectorial,0.8422
