Keyword,Score
algebra,0.9558
algoritmo,1.7213
analisis,2.8129
aplicacion,2.0162
arte,3.2681
campo,1.4703
cocina,1.3347
concepto,4.1099
continuacion,1.0367
cubrir,0.5735
culinario,0.9612
curso,2.2253
debate,0.9772
diferente,0.6704
dinamico,0.6111
diverso,1.5748
educativo,0.5442
empresarial,0.5718
enfoque,0.6633
espacio,0.9593
estrategia,1.809
estructura,1.3397
financiero,0.8272
fisico,0.6483
gastronomia,0.782
geometrica,0.7702
gestion,3.3924
herramienta,1.7915
innovacion,0.7775
integracion,0.7234
interactivo,0.8053
laboratorio,1.0767
marketing,0.6284
matematico,0.579
mercado,0.766
metodologia,0.5468
moderno,0.7659
multimedia,0.7364
optimizacion,0.8812
pedagogica,0.6671
planificacion,1.8841
proyecto,1.735
real,0.7632
riesgos,0.6255
software,0.6359
tecnica,3.8728
teoria,3.8252
vocabulario,0.6159
