Keyword,Score
algebra,2.288
algoritmo,1.938
analisis,2.3758
aplicacion,0.7401
aprendizaje,1.2279
arte,4.313
basico,1.0163
centrar,0.7994
cocina,2.4454
complejo,0.9098
contemporaneo,1.7881
culinario,2.3773
cultural,1.0148
curso,4.881
danza,1.4079
debate,0.9772
decision,1.7049
discusion,1.6538
educativo,0.9599
estrategia,1.7514
financiero,1.0977
fisico,0.8161
fundamental,1.013
gastronomia,0.782
gestion,3.0175
herramienta,0.8869
innovacion,1.0748
integracion,1.5685
interactivo,0.8186
laboratorio,0.9456
lenguaje,1.2064
marketing,1.1521
matematico,1.9698
mercado,1.0058
metodologia,0.8855
multimedia,0.7364
optimizacion,0.772
pedagogica,1.0728
principio,0.9082
programacion,1.4177
proyecto,2.773
social,1.0442
tecnica,2.7263
tecnico,1.3994
tema,1.2746
teorema,1.3431
teoria,4.6704
teorico,0.9337
vectorial,1.0117
