Original Filename,Preprocessed Text
100 Principles of Insurance,course cover fundamental insurance include type coverage risk management relevant legislation student learn assess mitigate risk business environment
101 Data Analysis,course student learn apply data analysis technique extract relevant information strategic decision descriptive predictive prescriptive analysis method cover
102 Principles of Finance,course introduce student fundamental concept corporate finance asset management capital structure investment project evaluation
103 Adm Colloquia,"course provide space discussion analysis current issue business 
 student participate colloquium industry expert academic"
104 Corporate Finance,"course focus financial management company 
 topic business valuation financing capital structure long term financial planning explore"
105 Digital Marketing,"course examine digital marketing strategy include seo social medium advertising 
 content marketing student learn create execute online marketing campaign"
106 Negotiation,course provide student tool necessary successfully negotiate different business context focus negotiation technique conflict resolution collaborative decision making
107 Operations +Lab,course cover principle operation management include planning production logistic laboratory student apply theory solve real life problem
108 Economy and Business,course introduce student economic principle impact business decision microeconomic macroeconomic cover focus business application
109 Market Research,course teach student technique tool necessary conduct market research focus datum collection analysis support strategic marketing decision
10 Self-knowledge,"course dedicate personal exploration development introspective skill 

 student learn theory self concept emotional management personal growth practical focus self discovery"
110 Business Creativity,"course focus foster innovation business environment 
 student learn technique generate creative idea develop innovative solution business problem"
111 Business Projects,"course guide student process plan execute business project 
 topic risk management resource allocation project evaluation cover"
112 Talent Management,course address human resource management include recruiting training retain employee strategy develop effective motivated workforce cover
113 International Business,"course focus challenge opportunity international business 
 student learn global trade foreign investment management multinational company"
114 Innovation and Sustainability,"course explore business innovative sustainable 
 topic corporate social responsibility sustainable product development cover"
115 Taxation and Legal Environment,course provide understanding tax system legal environment affect business student learn navigate tax legislation strategically plan taxis
116 Strategic Analysis ADM,"course teach student develop execute effective business strategy 
 focus competitive analysis strategy formulation implementation strategic plan"
117 Digital Tools 1,"course introduce student basic digital tool field art 
 include use software graphic design image editing multimedia production"
118 Fundamentals of the Arts,course cover essential concept basic technique art form focus develop fundamental skill artistic creation
119 Visual Composition 1,course student learn principle visual composition concept balance contrast harmony visual art explore
11 Being and Cosmos,course examine interaction human universe topic philosophy cosmology existence explore interdisciplinary perspective encourage critical reflection
120 Creation Laboratory 1,lab provide hand space student experiment develop artistic skill create project apply learn technique
121 Drawing for Art and Design,course focus draw fundamental tool art design draw technique support creation visualization artistic design idea cover
122 Photography 1,course provide introduction principle photography include camera use composition image editing student learn capture process photographic image
123 Fundamentals of Sculpture,course explore basic technique sculpture student learn material tool process creation sculptural work
124 Theory Critic 1  Art & Media,course examine critical theory relate art medium student analyze art relate medium contemporary culture
125 New Media,course explore use new medium technology contemporary art topic digital art interaction multimedia installation cover
126 Contemporary Art,course focus study contemporary art different movement style student analyze work artist relevant current context
127 Creation Laboratory 2,lab student continue develop artistic skill creation advanced project application complex technique
128 Art Workshop 1,workshop provide environment intensive art practice student work individual collaborative project develop artistic style technique
129 ART Colloquia,colloquium course offer space discussion critical analysis art relate topic student participate debate presentation current relevant topic
12 English Level 3,move forward complexity course reinforce language skill emphasis academic writing text analysis improve pronunciation include elaborate conversation writing task
130 Art and Social Context,course examine relationship art social context produce examine art reflect affect social cultural dynamic
131 Research Workshop,workshop design student conduct research field art focus development research project application academic method artistic practice
132 Emphasis 1,course allow student delve deep specific area ​​art accord interest specialized focus offer particular discipline technique
133 Art Workshop 2,workshop student continue work complex advanced artistic project personal development student style technique encourage
134 Emphasis 2,course offer opportunity student specialize second area ​​inter art allow deep focus particular discipline technique
135 Cultural Management and Production,course address management production cultural artistic event aspect planning execution promotion cultural activity cover
136 Creation Laboratory 3,lab provide student space creation advanced artistic project student opportunity experiment innovative technique material
137 Everyday Mathematics,course cover mathematical concept apply everyday situation focus mathematic solve practical problem everyday life
138 Emphasis 3,course allow student explore area ​​inter art specialized focus additional discipline technique offer
139 Art Workshop 3,final workshop student develop advanced comprehensive art project focus application advanced technique culmination artistic learning
13 English Level 4,"final level basic english cycle student develop skill 
 discuss complex topic write formal essay presentation english course prepare 
 student advanced level proficiency"
140 Art and Education   Curation,course explore intersection art education practice curate art focus educational planning organization exhibition
141 Topics in Communication and Art,course focus contemporary issue relate communication art student examine art communicate different medium context
142 Production & Exhibition,course culminate completion final art project student present exhibit work focus production presentation evaluation art project
143 Programming For Design 1,course introduce student basic programming concept apply design student learn use programming tool develop interactive project emphasis place use programming language ​​to create dynamic interface digital prototype
144 Programming For Design 2,course student delve advanced programming technique apply design topic object orient programming use graphical library code optimization improve user experience interactive product cover specific programming language ​​for multimedia design explore
145 Programming For Design 3,course conclude design focus programming series cover advanced topic create custom graphic engine simulate physical interaction virtual environment integrate programming 3d design software student apply knowledge comprehensive interactive design project
146 Games and Narrative,"course explore relationship video game interactive storytelling 
 student analyze story construct digital environment 
 learn design game narrative focus relevant case study 
 project merge game creation storytelling 
 conduct"
147 3D Modeling 1,"course teach basic 3d modeling design animation 
 student learn fundamental technique create dimensional 
 object work 3d modeling software concept topology 
 texture scene rendering explore"
148 Calculus for Science 1,"course introduce basic concept differential integral calculus 
 student learn limit derivative application science 
 engineering problem concept integral relationship area curve 
 cover"
149 Group Theory,course present formal introduction group theory fundamental branch abstract algebra student learn group subgroup homomorphism application area pure apply mathematic physics
14 Advanced Programming in C++,advanced course c++ programming language topic dynamic datum structure object orient programming memory management explore depth complex example project
150 Complex Variable,"course focus analysis function complex variable 
 complex number holomorphic function line integral 
 laurent series study application problem solve 
 physics advanced mathematic"
151 Differential Equations,course cover theory method solve ordinary differential equation fundamental model phenomenon science engineering student explore analytical numerical technique solve first- second order equation
152 Calculus for Science 2,"continuation calculus science 1 course delve deeply integral calculus 
 cover advanced integration technique vector calculus introduce key 
 solve multivariable problem science engineering"
153 Introduction to Probabilities,"course introduce fundamental concept probability theory 
 include sample space random variable probability distribution 
 central limit theorem focus practical application 
 statistic uncertainty modeling"
154 Fundamentals of Geometry,"course present introduction euclidean non euclidean geometry 
 axiom theorem geometric construction study emphasis 
 logical reasoning formal proof addition application geometry branch mathematic 
 explore"
