Original Filename,Preprocessed Text
100 Principios de Seguros,curso abordar fundamento seguro incluir tipo cobertura gestion riesgos legislacion relevante estudiante aprenderar evaluar mitigar riesgo entorno empresarial
101 Analisis de Datos,curso estudiant aprenderar aplicar tecnica analisis dato extraer informacion relevante tomar decision estrategica cubrir metodo analisis descriptivo predictivo prescriptivo
102 Principios de Finanzas,curso introducir estudiante concepto fundamental finanza empresarial gestion activo estructura capital evaluacion proyecto inversion
103 Coloquios adm,curso proporcionar espacio discusion analisis tema actual negocio estudiant participar coloquio experto industria academico
104 Finanzas Corporativas,curso centrar gestion financiero dentro empresa explorar tema valoracion empresa financiacion estructura capital asi planificacion financiero largo plazo
105 Marketing Digital,curso examinar estrategia marketing digital incluir seo publicidad red social marketing contenido estudiante aprenderar crear ejecutar campana marketing linea
106 Negociacion,curso proporcionar estudiante herramienta necesario negociar exito diferente contexto empresarial enfocar tecnica negociacion resolucion conflicto tomar decision colaborativa
107 Operaciones +Lab,curso cubrir principio gestion operacion incluido planificacion produccion logistico laboratorio estudiant aplicar teoria resolver problema vida real
108 Economia y Negocios,curso introducir estudiante principio economico impactar decision empresarial cubrir microeconomio macroeconomia enfoque aplicacion empresarial
109 Investigacion de Mercados,curso ensena estudiante tecnica herramienta necesario llevar cabo investigacion mercado enfocar recopilacion analisis dato apoyar decision estrategica marketing
10 Autoconocimiento,curso dedicado exploracion personal desarrollo habilidad introspectiva estudiant aprenderar teoria autoconcepto gestion emocional crecimiento personal enfoque practico autodescubrimiento
110 Creatividad Empresarial,curso centrar fomentar innovacion dentro entorno empresarial estudiante aprenderar tecnica generar idea creativo desarrollar solucion innovadora problema comercial
111 Proyectos Empresariales,curso guia estudiantes traves proceso planificacion ejecucion proyecto empresarial cubrir tema gestion riesgos asignacion recurso evaluacion proyecto
112 Gestion del Talento,curso abordar gestion recursos humano incluir contratacion formacion retencion empleado cubrir estrategia desarrollar fuerza laboral eficaz motivado
113 Negocios Internacionales,curso enfocar desafio oportunidad negocio internacional estudiant aprenderar comercio global inversion extranjero gestion empresa multinacional
114 Innovacion y Sustentabilidad,curso explorar empresa poder ser innovadora sostenible cubrir tema responsabilidad social corporativo desarrollo producto sostenible
115 Tributacion y Entorno Legal,curso proporcionar comprension sistema tributario entorno legal afectar empresa estudiant aprenderar navegar legislacion fiscal planificar estrategicamente impuesto
116 Analisis Estrategico ADM,curso ensena estudiant desarrollar ejecutar estrategia empresarial efectivo enfocar analisis competitivo formulacion estrategia implementacion plan estrategico
117 Herramientas Digitales 1,curso introducir estudiante herramienta digital basica utilizado campo arte incluir uso software diseno grafico edicion imagenes produccion multimedia
118 Fundamentos de las Artes,curso cubrir concepto esencial tecnica basica diverso forma arte enfocar desarrollo habilidad fundamental creacion artistico
119 Composicion Visual 1,curso estudiant aprenderar principio composicion visual explorar concepto equilibrio contraste armonio arte visual
11 Ser y Cosmos,curso examinar interaccion ser humano universo explorar tema filosofia cosmologia existencia perspectiva interdisciplinario fomentar reflexion criticar
120 Laboratorio de Creacion 1,laboratorio ofrecer espacio practico estudiante experimentar desarrollar habilidad artistica mediante creacion proyecto aplicacion tecnica aprendido
121 Dibujo para Arte y Diseno,curso centrar dibujo herramienta fundamental arte diseno abordar tecnica dibujo apoyar creacion visualizacion idea artistica diseno
122 Fotografia 1,curso proporcionar introduccion principios fotografia incluir uso camara composicion edicion imagen estudiant aprenderar capturar procesar imagen fotografica
123 Fundamentos de Escultura,curso explorar tecnica basica escultura estudiant aprenderar material herramienta proceso utilizado creacion obra escultorica
124 Teoria Critica 1  Arte & Media,curso examinar teoria critica relacionado arte medio comunicacion estudiantes analizar arte relacionar medio cultura contemporaneo
125 Nuevos Medios,curso explorar uso nuevo medio tecnologia arte contemporaneo cubrir tema arte digital interaccion instalacion multimedia
126 Arte Contemporaneo,curso centrar estudio arte contemporaneo diferente movimiento estilo estudiante analizar obra artista relevante contexto actual
127 Laboratorio de Creacion 2,laboratorio estudiant continuarar desarrollar habilidad artistica trav creacion proyecto mas avanzado aplicacion tecnica complejo
128 Taller de Arte 1,taller proporcionar entorno practicar intensivo arte estudiant trabajar proyecto individual colaborativo desarrollar estilo tecnico artistico
129 Coloquios ART,curso coloquios ofrecer espacio discusion analisis critico tema relacionado arte estudiant participar debate presentacion tema actual relevante
12 Inglés Nivel 3,avanzar complejidad curso reforzar habilidad linguistica enfasis escritura academico analisis texto mejorar pronunciacion incluir tarea conversacion redaccion mas elaborado
130 Arte y Contexto Social,curso examinar relacion arte contexto social producir analizar arte reflejar afectar dinamica social cultural
131 Taller de Investigacion,taller disenado estudiante realizar investigacion campo arte enfocar desarrollo proyecto investigacion aplicacion metodo academico practicar artistico
132 Enfasis 1,curso permitir estudiante profundizar area especificar arte segun interes ofrecer enfoque especializado disciplina tecnico particular
133 Taller de Arte 2,taller estudiantes continuarar trabajar proyecto artistico mas complejo avanzado fomentar desarrollo personal estilo tecnico cada estudiante
134 Enfasis 2,curso ofrecer oportunidad estudiante especializar segundo area inter dentro arte permitir enfoque mas profundo disciplina tecnico particular
135 Gestion y Produccion Cultural,curso abordar gestion produccion evento cultural artistico cubrir aspecto planificacion ejecucion promocion actividad cultural
136 Laboratorio de Creacion 3,laboratorio proporcionar estudiante espacio creacion proyecto artistico avanzado estudiante tendran oportunidad experimentar tecnica material innovador
137 Matematicas Cotidianas,curso cubrir concepto matematico aplicado situacion cotidiano enfocar uso matematica resolver problema practico vida diario
138 Enfasis 3,curso permitir estudiante explorar tercero area interes dentro arte ofrecer enfoque especializado disciplina tecnico adicional
139 Taller de Arte 3,taller final estudiante desarrollar proyecto artistico avanzado completo enfocar aplicacion tecnica avanzado culminacion aprendizaje artistico
13 Inglés Nivel 4,ultimo nivel ciclo basico ingles estudiant desarrollar habilidad debatir tema complejo escribir ensayo formal realizar presentacion ingl curso preparar estudiante nivel mas avanzado competencia
140 Arte y Educacion   Curaduria,curso explorar interseccion arte educacion asi practica curadurio ambito artistico enfocar planificacion educativo organizacion exposicion
141 Temas en Comunicacion y Arte,curso centrar tema contemporaneo relacionado comunicacion arte estudiant examinar arte comunicar trav diferente medio contexto
142 Produccion & Exhibicion,curso culminar realizacion proyecto artistico final estudiante presentar exhibir trabajo enfocar produccion presentacion evaluacion proyecto artistico
143 Programacion Para Diseño 1,curso introducir estudiante concepto basico programacion aplicado diseno estudiant aprenderar utilizar herramienta programacion desarrollar proyecto interactivo enfatizar uso lenguaje programacion crear interfaz dinamica prototipo digital
144 Programacion Para Diseño 2,curso estudiant profundizar tecnica avanzado programacion aplicado diseno abordar tema programacion orientado objeto uso biblioteca grafica optimizacion codigo mejorar experiencia usuario producto interactivo tambien explorar lenguaje programacion especifico diseno multimedia
145 Programacion Para Diseño 3,curso finalizar serie programacion enfocado diseno cubrir tema avanzado creacion motor grafico personalizado simulacion interaccion fisica entorno virtual integracion programacion software diseno d estudiantes aplicar conocimiento proyecto integral diseno interactivo
146 Juegos y Narrativa,curso explorar relacion videojuegos narrativo interactivo estudiante analizar construir historia entorno digital aprenderar disenar juego enfoque narrativo estudiar caso relevante realizar proyecto fusionar creacion juegos narracion historia
147 Modelado 3D 1,curso ensén base modelado d diseno animacion estudiant aprenderar tecnica fundamental creacion objeto tridimensional trabajar software modelado d explorar concepto topologia textura renderizado escena
148 Cálculo para Ciencias 1,curso introducir concepto basico calculo diferencial integral estudiante aprenderar limit derivado aplicacion problema ciencias ingenieria tambien cubrir concepto integral relacion area bajo curva
149 Teoría de Grupos,curso presentar introduccion formal teoria grupo rama fundamental algebra abstracto estudiante aprenderar grupo subgrupo homomorfismo aplicacion diverso area matematico puro aplicado asi fisico
14 Programacion Avanzada en C++,curso avanzado lenguaje programacion c profundizar tema estructura dato dinamica programacion orientado objeto manejo memorio trabajar ejemplo proyecto mas complejo
150 Variable Compleja,curso enfocar analisis funcion variable complejo estudiar numero complejo funcion holomorfa integral line serie laurent aplicacion resolucion problema fisico matematica avanzado
151 Ecuaciones Diferenciales,curso cubrir teoria metodo resolver ecuacion diferencial ordinario fundamental modelizacion fenomeno ciencias ingenieria estudiantes explorar tecnica analitica numerica resolver ecuacion primero segundo orden
152 Cálculo para Ciencias 2,continuacion calculo ciencias curso profundizar calculo integral cubrir tecnica integracion mas avanzado tambien introducir calculo vectorial clave resolucion problema multivariabl ciencia ingenieria
153 Introduccion a Probabilidades,curso introducir concepto fundamental teoria probabilidad incluir espacio muestral variable aleatorio distribucion probabilidad teorema central limite enfocar aplicacion practica estadistica modelado incertidumbre
154 Fundamentos de Geometría,curso presentar introduccion geometria euclidián euclidián estudiar axioma teorema construccion geometrica enfasis razonamiento logico demostracion formal adema explorar aplicacion geometrio rama matematica
